Experiment,Backend,Model,N,YES_hits,Possible_hits,Points,YES_ranks,Possible_genes
o4.8 · DB,DB,o4.8,50,2,5,150,"{'AFF2': 5, 'GLS': 6}","['FRA10AC1', 'CBL', 'ENSG00000249773', 'BCLAF3', 'TMEM185A']"
s5 · TSV,TSV,s5,50,2,5,150,"{'AFF2': 11, 'GLS': 8}","['FRA10AC1', 'CBL', 'ENSG00000249773', 'BCLAF3', 'TMEM185A']"
o4.6·T.7 · TSV,TSV,o4.6,50,2,4,140,"{'AFF2': 38, 'GLS': 46}","['CBL', 'ENSG00000249773', 'BCLAF3', 'TMEM185A']"
o4.8 · TSV,TSV,o4.8,50,2,4,140,"{'AFF2': 3, 'GLS': 7}","['CBL', 'ENSG00000249773', 'BCLAF3', 'TMEM185A']"
s5 · DB,DB,s5,50,2,3,130,"{'AFF2': 6, 'GLS': 13}","['ENSG00000249773', 'BCLAF3', 'TMEM185A']"
o4.6·T.5 · TSV,TSV,o4.6,50,0,4,40,{},"['CBL', 'ENSG00000249773', 'BCLAF3', 'TMEM185A']"
